Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Chhattisgarh, 31-08-2019, M, 6.29, 2392400.00, 46.91
Chhattisgarh, 30-09-2019, M, 9.45, 2309817.00, 46.76
Chhattisgarh, 31-10-2019, M, 10.27, 2297096.00, 46.82
Chhattisgarh, 30-11-2019, M, 8.32, 2341284.00, 46.59
Chhattisgarh, 31-12-2019, M, 3.57, 2415435.00, 45.59
Chhattisgarh, 31-01-2020, M, 9.01, 2315972.00, 46.21
Chhattisgarh, 29-02-2020, M, 9.79, 2347941.00, 47.14
Chhattisgarh, 31-03-2020, M, 8.21, 2407509.00, 47.39
Chhattisgarh, 30-04-2020, M, 20.13, 1066126.00, 24.06
Chhattisgarh, 31-05-2020, M, 19.35, 1537126.00, 34.28
Chhattisgarh, 30-06-2020, M, 25.73, 1625061.00, 39.25
Chhattisgarh, 31-07-2020, M, 3.40, 2175412.00, 40.30
Chhattisgarh, 31-08-2020, M, 4.21, 2156940.00, 40.20
Chhattisgarh, 30-09-2020, M, 5.24, 2277312.00, 42.80
Chhattisgarh, 31-10-2020, M, 8.18, 2255153.00, 43.63
Chhattisgarh, 30-11-2020, M, 4.24, 2169263.00, 40.15
Chhattisgarh, 31-12-2020, M, 5.26, 2098898.00, 39.17
Chhattisgarh, 31-01-2021, M, 5.28, 2303194.00, 42.88
